episode,id,title,source,level,severity,line_count,char_count,sha256,verdict,top_issue,top_issue_location,top_issue_sample
000,official-vimeo-m4a-partial__000__7c18aa7d,我们就是这个时代的既得利益者 [1179679629],official-vimeo-m4a-partial,low,3,126,1685,5255bff264b824b0e8242c6513d6b4fde2e47ef5f81b4b62e391d49928b54972,低风险留痕,疑似错词,,果壳和新榜
001,official-vimeo-m4a-partial__001__1a0d7a82,【马东推荐】我心生羡慕嫉妒恨 [1179683060],official-vimeo-m4a-partial,clean,0,6,267,8d6ff936bc227eed5905c66cfd45c3287981ef286b69c0e3178b77760d96975c,未见明显风险,,,
002,official-vimeo-m4a-partial__002__5ff1220b,【冯仑推荐】我很期待听到这样的声音 [1179683841],official-vimeo-m4a-partial,clean,0,7,345,b65af7a7dbbb5a7779f579bc84d35608f56ebd3d11f58b2b282b887ae3cd14d1,未见明显风险,,,
003,official-vimeo-m4a-partial__003__1d38f06f,【吴晓波推荐】宇晨对投资有独特的方法论 [1179684422],official-vimeo-m4a-partial,clean,0,3,128,f5f58e43107ca3654d358f0a6119e191a4e2fd053aba403b699a00bcdfbe26ff,未见明显风险,,,
004,official-vimeo-m4a-partial__004__87165387,【鲁豫推荐】宇晨坚信所有的人都可以实现财富自由 [1179687576],official-vimeo-m4a-partial,clean,0,6,189,65318fb38f123b7c17c903ef1addaf9c897f40a712008cc6dc3003dcdcdd982f,未见明显风险,,,
005,official-vimeo-m4a-partial__005__836776aa,【同道大叔推荐】宇晨是一个很特别的人 [1179687907],official-vimeo-m4a-partial,clean,0,9,198,c879b825303a26a91493041c43c7c60cb8c0cbc3c20e493d7ffc496ebe36bf71,未见明显风险,,,
006,official-vimeo-m4a-partial__006__a47f6122,【创刊词】为什么大多数人勤劳却不富有？ [1179688350],official-vimeo-m4a-partial,low,8,402,7812,592c5d4241656b0ca5e50dd4117e8f4aa5c60112b85e78047f86202cd5000586,低风险留痕,行内循环,L18,"战略损失还没那么大,你不做战略就玩完了,所以个人是更应该做战略,我觉得首先所有事你不要想,想着赶紧撸起袖子去灌,别别别,你先想清楚,你的人生是为了啥,为啥要干这些事情,这些事情有什么好处,这个事情符不符合你的初心,你是谁,从哪里来到哪里去,"
007,official-vimeo-m4a-partial__007__a8b90f85,【精华】孙宇晨投资秘籍首次公开 [1179689453],official-vimeo-m4a-partial,clean,0,32,3279,24c0767cc993570a1c145dccd3161ce9fdba24960b2a080bb62b3c538718a22b,未见明显风险,,,
008,official-vimeo-m4a-partial__008__4bb31bf0,【花絮】人生中的那些关键节点 [1179689834],official-vimeo-m4a-partial,low,3,408,5894,dfa85617d3a9d985cd85db9d00e9326ccf924a0e7a2d9d8550d4bddb345319d6,低风险留痕,疑似错词,,拿诺奖
009,official-vimeo-m4a-partial__009__6e724caa,【花絮】个人选择与成长问答 [1179690308],official-vimeo-m4a-partial,low,6,249,4898,f56c40d04b9de2c368bf26b1af9cae889f9979127f4156e75466e0f0061efef8,低风险留痕,连续重复,L136-L137,陪我app是个什么东西
010,official-vimeo-m4a-partial__010__52931080,预告-财富自由是什么 [1179690712],official-vimeo-m4a-partial,clean,0,181,1721,53730aaa53a0af27233f2ae16ee305c9ae6272c0f57a44cd705f227b901056ed,未见明显风险,,,
011,wavlake-mp3__011__89676748,011 孙宇晨：财富自由就退休,wavlake-mp3,clean,0,265,3362,c02ec7b1024e9c64f231dbcaca64d2f54cf4c13ba75885df4b1392d1c976868a,未见明显风险,,,
012,official-vimeo-m4a-partial__012__842975e3,财富自由的本质 [1179691257],official-vimeo-m4a-partial,low,4,374,3490,cc0c16bf82d25958f6275894a9e85560a120d194e0b76a59d2ebfc1658a9986d,低风险留痕,行内循环,L252,我就要立刻干什么干什么干什么了
013,official-vimeo-m4a-partial__013__79c7a7f3,案例-一个卖掉自己的妹纸 [1179691533],official-vimeo-m4a-partial,low,13,131,7801,08b3b29a1805a4e0b08076664370a671bd3bcc9920a5981562b1187ec469cd84,低风险留痕,近似重复,L76-L77,"可能我们经常认为跟陌生人的,虽然其实中国人都已经经常愚蠢到有可能跟陌生人的边界问题经常他也会搞混。"
014,official-vimeo-m4a-partial__014__a9dd324d,案例-北京土著的移民理想 [1179691963],official-vimeo-m4a-partial,clean,0,454,4295,09a71001bea2b17438f0abc2410cdb9b87ffd365b30d81d893d03b676620820e,未见明显风险,,,
015,official-vimeo-m4a-partial__015__387b0d62,总结-财富自由的定义 [1179692400],official-vimeo-m4a-partial,low,4,159,1536,94c5e02be7cdf87542ef3915fb4a4d4be3a3ae51130d8077f481ee24f523c0d5,低风险留痕,行内循环,L34,就天天干什么干什么干什么呀
016,official-vimeo-m4a-partial__016__71e7d985,财富自由从未如此容易过 [1179692693],official-vimeo-m4a-partial,low,4,609,5912,5f0cf133aeb876f8cbee700bd664007a71ce96503ecc867b02798f1671c6cc26,低风险留痕,行内循环,L310,基本上是将近三三三百多亿的美金
017,official-vimeo-m4a-partial__017__5082f218,有关被认为是山寨的说明 [1179692955],official-vimeo-m4a-partial,clean,0,2,88,e24f489943eb26bb51219e3f2f5724e31272ef1ffccee40a04f201b5cebd5b25,未见明显风险,,,
018,official-vimeo-m4a-partial__018__6b1ffa0f,课程大纲讲解 [1179693184],official-vimeo-m4a-partial,clean,0,24,3989,222adeddbc5675bc5c544ca97ae7209c7db80980f67e63ffa61f25ef3c24c7f2,未见明显风险,,,
019,official-vimeo-m4a-partial__019__370e6ea3,五分钟走向财富自由问答 [1179693406],official-vimeo-m4a-partial,low,13,2,102,62b8d13ffa24685a4a30985cbfeee4bb6ac23250e9234fa6115edade0d05bd3e,低风险留痕,近似重复,L1-L2,"大家好,我是陪我APP创始人孙宇晨,我想邀你一起与我踏上财富自由革命之路,我在财富自由的另一边等着你。"
