大家好,我是陪我APP创始人孙宇晨。我想邀你一起与我踏上财富自由革命之路。我在财富自由的另一边,等着你。
请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
如果说买房子还值得讲一讲的话,90后不买车我觉得是更简单,其实根本不需要怎么说的。
但是我今天就是接下来的这一两周啊,我们会就详细的就整个共享经济啊,给大家好好讲讲我们的观点,也算是一个收尾和总结啊,也是对共享经济的一个点评收尾和总结。
首先呢,大家知道90后不买车这个想法呢,原因呢。
其实很简单了,因为车呢,我们认为是一种车,尤其自己买车养车是一种非常糟糕的选择。
首先呢,从投资的意义上来说是一场灾难,因为我们大家也知道,即便我这种开公司的人买车其实挺便宜的,因为大家知道我们买车可以抵扣增值税,就是本真已经,已经其实我们是比大家买车要便宜的多的。
当然这一点暴露了孙总其实挺有钱的,每年要给国家纳很多税啊。
否则我们也没有所谓的增值税可以抵扣啊,所以我们去买车其实比大家买还便宜,但即便这样我都不愿意买,因为一买车有固定资产折旧啊,这个车其实任何固定资产我都不愿意投入,其实往往我还喜欢做这种互联网这种比较轻的,因为固定资产每过好几年折吧折吧就给你折没了,你这种投入其实根本就不会增值,同时买个车就跟买个孩子一样,每天还得养,
这车可不是海螺姑娘是吧,人家不会车不会自己把自己给洗了是吧,不会自己给自己加油啊,不会自己找停车位,不会自己年减,什么都不会的,这车就跟一个宝宝一样,他每天是吧病了你得去修他,他这个身体不舒服你得大家去看医生,然后每天你还得去给他找个家,帮车还得买套房呢,经常我们说要买停车位嘛,而且给车买房还不能贷款,
停车位都必须全款买的,所以呢,这是给买个车真的是跟买个小孩是没有太大差别的,我周边看过有太多的创业者,他们就说啊,创业总共有两大大两座大山,第一个是小孩,我们家看到很多创业者就是要带小孩去看病啊,各种各样的事情啊,很多他说严重拖慢了他的创业的节奏,还有一个就是带着车每天要去干嘛的啊,今天要修车,
每天要带他去充电,我们有个同学买了特斯拉啊,我就不讲是谁了,也是我们一个90后创业者吧,他每天还得带着特斯拉去充电,有一次他带着特斯拉去充电的路上,特斯拉就没电了,还他都被迫叫了道路救援啊,才过来把他给救了,所以类似的事情有非常多的啊,麻烦,其实我们就不多说了,其实买车,而你后来看现在那我们不买车呢,出行的问题如何解决呢?
其实解决的方式啊,
用共享经济就可以解决至少买车的问题,现在在中国已经比较完美的可以解决了,所以啊,我个人觉得买车的理由,无论讲啥都是不成立的,其实有时候有的人说,哎,那雨晨,我要做生意呗,要做大生意,是不是得买一辆阔气的车呢?其实我觉得也不存在,为啥呢?
我觉得其实我们很多读者都不一定有我有钱,
都到我这儿来,
我这个程度了,
我自己都不一定要买啊,
