大家好,我是陪我APP创始人孙宇晨,我想邀你一起与我踏上财富自由革命之路,我在财富自由的另一边,等着你。
既然你已经选好了你的伴侣,选好了你的家人,当然没得选了,究竟该如何处理和他们的关系呢?
我个人认为,正确处理和家人的关系,无论是父母、伴侣还是兄弟姐妹,其中有一条最基本的原则就是,所有的家人与你都是一种平等关系,所以本质上与你和你朋友的关系是一样的。
如果说和朋友之间有一些差别,那么就是家人之间是一种平等的至亲关系。
这句话怎么理解呢?
家人和家人之间是一种平等的至亲关系,首先我们要了解这是一种平等的关系。
平等关系也就是我们平常打架到说近似于朋友的关系,你的人生与你父母的人生本质上是没有所谓的必然联系的。
大家一定要明白这一点,你就是你自己与你的父母没有任何关系。
反过来说,你的父母也与你。
你的父母也与你没有任何关系。
我们都是彼此之间独立的个体。
我记得阿兰德有一句话非常著名,这是他对他情人表白时候说的一句话,叫做我爱你,但这句话的前提条件是我必须先有我。
这讲的我觉得非常深刻,我爱你的前提条件是得有我才能爱你。
如果连我都没有,那如何去达成我爱你这句话呢?
是很多人忽略了。
所以从这个角度来说,我们每个人的成功与独立,不应该牺牲父母的福祉与自由。
反之,当然我们父母的成功和独立也不应该牺牲我们的幸福和自由。
我们彼此之间都是独立的个体。
所以从这个角度来说,你没有任何权利要求父母为你而活。
父母也没有任何权利要求子女为他们而活。
这是一个我认为处理与解决的问题。
这是一个与家人之间关系最本质的原则。
当然,这对于我们整个中国来说,这个原则可能是相当超前。
因为我们大家也了解,就是在中国,子女对父母可能至少负有一个不可推卸的责任,还不是赡养责任,大家要注意。
绝大多数,尤其我们男生也了解,大家赋予的主要是不孝有三,无后为大。
但是,在中国,父母的父母是不孝的。
所以,在中国,父母的父母是不孝的。
所以,在中国,父母的父母是不孝的。
所以,在中国,父母是不孝的。
所以,在中国,父母是不孝的。
所以,在中国,父母是不孝的。
所以,在中国,父母是不孝的。
所以,在中国,父母是不孝的。
所以,在中国,父母是不孝的。
所以,在中国,父母是不孝的。
所以,在中国,父母是不孝的。
所以,在中国,父母是不孝的。
所以,在中国,父母是不孝的。
所以,在中国,父母是不孝的。
所以,在中国,父母是不孝的。
所以,在中国,父母是不孝的。
所以,在中国,父母是不孝的。
所以,在中国,父母是不孝的。
所以,在中国,父母是不孝的。
所以,在中国,父母是不孝的。
所以,在中国,父母是不孝的。
所以,在中国,父母是不孝的。
所以,在中国,父母是不孝的。
所以,在中国,父母是不孝的。
所以,在中国,父母是不孝的。
所以,在中国,父母是不孝的。
所以,在中国,父母是不孝的。
所以,在中国,父母是不孝的。
所以,在中国,父母是不孝的。
所以,在中国,父母是不孝的。
所以,在中国,父母是不孝的。
所以,在中国,父母是不孝的。
所以,在中国,父母是不孝的。
所以,在中国,父母是不孝的。
所以,在中国,父母是不孝的。
所以,在中国,父母是不孝的。
所以,在中国,父母是不孝的。
所以,在中国,父母是不孝的。
所以,在中国,父母是不孝的。
